"","pass_type","weekend","rides_1d","rides_3d"
"151",0,0,2,6
"152",0,0,2,6
"153",0,0,1,3
"154",0,0,1,3
"155",0,0,2,6
"156",0,0,2,6
"157",0,0,1,3
"158",0,0,1,3
"159",0,0,3,9
"160",0,0,1,3
"161",0,0,1,3
"162",0,0,1,3
"163",0,0,1,3
"164",0,0,5,15
"165",0,0,1,3
"166",0,0,1,3
"167",0,0,1,3
"168",0,0,1,3
"169",0,0,1,3
"170",0,0,2,6
"171",0,0,1,3
"172",0,0,1,3
"173",0,0,3,9
"174",0,0,1,3
"175",0,0,1,3
"176",0,0,2,6
"177",0,0,1,3
"178",0,0,1,3
"179",0,0,1,3
"180",0,0,1,3
"181",0,0,1,3
"182",0,0,3,9
"183",0,0,1,3
"184",0,0,1,3
"185",0,0,2,6
"186",0,0,1,3
"187",0,0,2,6
"188",0,0,1,3
"189",0,0,1,3
"190",0,0,1,3
"191",0,0,1,3
"192",0,0,3,9
"193",0,0,1,3
"194",0,0,1,3
"195",0,0,1,3
"196",0,0,2,6
"197",0,0,1,3
"198",0,0,1,3
"199",0,0,2,6
"200",0,0,1,3
"201",0,0,1,3
"202",0,0,1,3
"203",0,0,2,6
"204",0,0,2,6
"205",0,0,2,6
"206",0,0,1,3
"207",0,0,1,3
"208",0,0,1,3
"209",0,0,1,3
"210",0,0,1,3
"211",0,0,2,6
"212",0,0,2,6
"213",0,0,1,3
"214",0,0,1,3
"215",0,0,1,3
"216",0,0,2,6
"217",0,0,2,6
"218",0,0,3,9
"219",0,0,1,3
"220",0,0,1,3
"221",0,0,2,6
"222",0,0,2,6
"223",0,0,1,3
"224",0,0,1,3
"225",0,0,1,3
"226",0,0,1,3
"227",0,0,1,3
"228",0,0,2,6
"229",0,0,1,3
"230",0,0,1,3
"231",0,0,1,3
"232",0,0,1,3
"233",0,0,1,3
"234",0,0,2,6
"235",0,0,2,6
"236",0,0,2,6
"237",0,0,1,3
"238",0,0,1,3
"239",0,0,2,6
"240",0,0,1,3
"241",0,0,1,3
"242",0,0,1,3
"243",0,0,1,3
"244",0,0,1,3
"245",0,0,2,6
"246",0,0,1,3
"247",0,0,2,6
"248",0,0,1,3
"249",0,0,2,6
"250",0,0,1,3
"251",0,0,1,3
"252",0,0,2,6
"253",0,0,1,3
"254",0,0,2,6
"255",0,0,1,3
"256",0,0,2,6
"257",0,0,1,3
"258",0,0,1,3
"259",0,0,1,3
"260",0,0,2,6
"261",0,0,2,6
"262",0,0,1,3
"263",0,0,3,9
"264",0,0,1,3
"265",0,0,1,3
"266",0,0,1,3
"267",0,0,1,3
"268",0,0,1,3
"269",0,0,1,3
"270",0,0,2,6
"271",0,0,1,3
"272",0,0,1,3
"273",0,0,1,3
"274",0,0,2,6
"275",0,0,1,3
"276",0,0,2,6
"277",0,0,1,3
"278",0,0,1,3
"279",0,0,1,3
"280",0,0,1,3
"281",0,0,2,6
"282",0,0,1,3
"283",0,0,3,9
"284",0,0,2,6
"285",0,0,1,3
"286",0,0,2,6
"287",0,0,1,3
"288",0,0,1,3
"289",0,0,1,3
"290",0,0,3,9
"291",0,0,1,3
"292",0,0,1,3
"293",0,0,2,6
"294",0,0,2,6
"295",0,0,1,3
"296",0,0,1,3
"297",0,0,1,3
"298",0,0,1,3
"299",0,0,1,3
"300",0,0,1,3
"301",0,0,3,9
"302",0,0,1,3
"303",0,0,1,3
"304",0,0,1,3
"305",0,0,1,3
"306",0,0,1,3
"307",0,0,2,6
"308",0,0,1,3
"309",0,0,1,3
"310",0,0,1,3
"311",0,0,1,3
"312",0,0,1,3
"313",0,0,1,3
"314",0,0,1,3
"315",0,0,1,3
"316",0,0,1,3
"317",0,0,1,3
"318",0,0,1,3
"319",0,0,1,3
"320",0,0,1,3
"321",0,0,1,3
"322",0,0,2,6
"323",0,0,1,3
"324",0,0,1,3
"325",0,0,1,3
"326",0,0,2,6
"327",0,0,2,6
"328",0,0,1,3
"329",0,0,1,3
"330",0,0,3,9
"331",0,0,2,6
"332",0,0,1,3
"333",0,0,1,3
"334",0,0,2,6
"335",0,0,1,3
"336",0,0,1,3
"337",0,0,2,6
"338",0,0,1,3
"339",0,0,1,3
"340",0,0,3,9
"341",0,0,1,3
"342",0,0,1,3
"343",0,0,1,3
"344",0,0,1,3
"345",0,0,2,6
"346",0,0,1,3
"347",0,0,1,3
"348",0,0,3,9
"349",0,0,1,3
"350",0,0,1,3
"351",0,0,2,6
"352",0,0,2,6
"353",0,0,1,3
"354",0,0,1,3
"355",0,0,1,3
"356",0,0,1,3
"357",0,0,2,6
"358",0,0,1,3
"359",0,0,1,3
"360",0,0,1,3
"361",0,0,1,3
"362",0,0,2,6
"363",0,0,1,3
"364",0,0,1,3
"365",0,0,1,3
"366",0,0,1,3
"367",0,0,1,3
"368",0,0,1,3
"369",0,0,1,3
"370",0,0,1,3
"371",0,0,1,3
"372",0,0,2,6
"373",0,0,1,3
"374",0,0,1,3
"375",0,0,1,3
"376",0,0,1,3
"377",0,0,3,9
"378",0,0,1,3
"379",0,0,1,3
"380",0,0,1,3
"381",0,0,1,3
"382",0,0,1,3
"383",0,0,1,3
"384",0,0,1,3
"385",0,0,1,3
"386",0,0,1,3
"387",0,0,1,3
"388",0,0,1,3
"389",0,0,2,6
"390",0,0,1,3
"391",0,0,1,3
"392",0,0,2,6
"393",0,0,1,3
"394",0,0,1,3
"395",0,0,1,3
"396",0,0,2,6
"397",0,0,1,3
"398",0,0,1,3
"399",0,0,1,3
"400",0,0,1,3
"401",0,0,2,6
"402",0,0,1,3
"403",0,0,2,6
"404",0,0,1,3
"405",0,0,1,3
"406",0,0,1,3
"407",0,0,1,3
"408",0,0,1,3
"409",0,0,2,6
"410",0,0,1,3
"411",0,0,1,3
"412",0,0,1,3
"413",0,0,2,6
"414",0,0,1,3
"415",0,0,3,9
"416",0,0,1,3
"417",0,0,2,6
"418",0,0,2,6
"419",0,0,2,6
"420",0,0,1,3
"421",0,0,6,18
"422",0,0,1,3
"423",0,0,4,12
"424",0,0,1,3
"425",0,0,1,3
"426",0,0,1,3
"427",0,0,1,3
"428",0,0,1,3
"429",0,0,1,3
"430",0,0,1,3
"431",0,0,1,3
"432",0,0,1,3
"433",0,0,4,12
"434",0,0,1,3
"435",0,0,1,3
"436",0,0,1,3
"437",0,0,1,3
"438",0,0,1,3
"439",0,0,1,3
"440",0,0,1,3
"441",0,0,1,3
"442",0,0,2,6
"443",0,0,1,3
"444",0,0,1,3
"445",0,0,3,9
"446",0,0,1,3
"447",0,0,1,3
"448",0,0,1,3
"449",0,0,1,3
"450",0,0,1,3
"451",0,0,1,3
"452",0,0,1,3
"453",0,0,3,9
"454",0,0,1,3
"455",0,0,3,9
"456",0,0,2,6
"457",0,0,2,6
"458",0,0,1,3
"459",0,0,1,3
"460",0,0,2,6
"461",0,0,1,3
"462",0,0,1,3
"463",0,0,1,3
"464",0,0,2,6
"465",0,0,1,3
"466",0,0,1,3
"467",0,0,2,6
"468",0,0,1,3
"469",0,0,1,3
"470",0,0,1,3
"471",0,0,1,3
"472",0,0,1,3
"473",0,0,1,3
"474",0,0,1,3
"475",0,0,1,3
"476",0,0,1,3
"477",0,0,1,3
"478",0,0,2,6
"479",0,0,1,3
"480",0,0,1,3
"481",0,0,1,3
"482",0,0,1,3
"483",0,0,1,3
"484",0,0,1,3
"485",0,0,1,3
"486",0,0,2,6
"487",0,0,1,3
"488",0,0,2,6
"489",0,0,1,3
"490",0,0,2,6
"491",0,0,1,3
"492",0,0,2,6
"493",0,0,3,9
"494",0,0,1,3
"495",0,0,2,6
"496",0,0,1,3
"497",0,0,1,3
"498",0,0,2,6
"499",0,0,3,9
"500",0,0,1,3
"501",0,0,1,3
"502",0,0,1,3
"503",0,0,3,9
"504",0,0,1,3
"505",0,0,1,3
"506",0,0,1,3
"507",0,0,3,9
"508",0,0,2,6
"509",0,0,3,9
"510",0,0,1,3
"511",0,0,1,3
"512",0,0,2,6
"513",0,0,1,3
"514",0,0,2,6
"515",0,0,1,3
"516",0,0,1,3
"517",0,0,1,3
"518",0,0,1,3
"519",0,0,1,3
"520",0,0,2,6
"521",0,0,2,6
"522",0,0,1,3
"523",0,0,1,3
"524",0,0,1,3
"525",0,0,2,6
"526",0,0,1,3
"527",0,0,1,3
"528",0,0,1,3
"529",0,0,1,3
"530",0,0,1,3
"531",0,0,1,3
"532",0,0,1,3
"533",0,0,1,3
"534",0,0,2,6
"535",0,0,2,6
"536",0,0,1,3
"537",0,0,2,6
"538",0,0,1,3
"539",0,0,1,3
"540",0,0,1,3
"541",0,0,1,3
"542",0,0,1,3
"543",0,0,1,3
"544",0,0,3,9
"545",0,0,2,6
"546",0,0,3,9
"547",0,0,3,9
"548",0,0,2,6
"549",0,0,1,3
"550",0,0,1,3
"551",0,0,1,3
"552",0,0,1,3
"553",0,0,1,3
"554",0,0,1,3
"555",0,0,1,3
"556",0,0,1,3
"557",0,0,1,3
"558",0,0,4,12
"559",0,0,1,3
"560",0,0,1,3
"561",0,0,3,9
"562",0,0,1,3
"563",0,0,2,6
"564",0,0,2,6
"565",0,0,1,3
"566",0,0,3,9
"567",0,0,1,3
"568",0,0,2,6
"569",0,0,1,3
"570",0,0,1,3
"571",0,0,2,6
"572",0,0,1,3
"573",0,0,1,3
"574",0,0,1,3
"575",0,0,1,3
"576",0,0,1,3
"577",0,0,1,3
"578",0,0,1,3
"579",0,0,2,6
"580",0,0,1,3
"581",0,0,1,3
"582",0,0,2,6
"583",0,0,1,3
"584",0,0,2,6
"585",0,0,1,3
"586",0,0,1,3
"587",0,0,2,6
"588",0,0,1,3
"589",0,0,1,3
"590",0,0,2,6
"591",0,0,1,3
"592",0,0,1,3
"593",0,0,1,3
"594",0,0,1,3
"595",0,0,1,3
"596",0,0,1,3
"597",0,0,2,6
"598",0,0,1,3
"599",0,0,1,3
"600",0,0,1,3
"601",0,0,1,3
"602",0,0,2,6
"603",0,0,1,3
"604",0,0,1,3
"605",0,0,1,3
"606",0,0,1,3
"607",0,0,1,3
"608",0,0,2,6
"609",0,0,1,3
"610",0,0,1,3
"611",0,0,1,3
"612",0,0,1,3
"613",0,0,1,3
"614",0,0,2,6
"615",0,0,2,6
"616",0,0,1,3
"617",0,0,2,6
"618",0,0,2,6
"619",0,0,2,6
"620",0,0,1,3
"621",0,0,2,6
"622",0,0,1,3
"623",0,0,1,3
"624",0,0,2,6
"625",0,0,1,3
"626",0,0,1,3
"627",0,0,1,3
"628",0,0,1,3
"629",0,0,1,3
"630",0,0,1,3
"631",0,0,1,3
"632",0,0,1,3
"633",0,0,1,3
"634",0,0,1,3
"635",0,0,1,3
"636",0,0,2,6
"637",0,0,1,3
"638",0,0,1,3
"639",0,0,1,3
"640",0,0,1,3
"641",0,0,1,3
"642",0,0,1,3
"643",0,0,1,3
"644",0,0,1,3
"645",0,0,1,3
"646",0,0,1,3
"647",0,0,1,3
"648",0,0,1,3
"649",0,0,1,3
"650",0,0,1,3
"651",0,0,1,3
"652",0,0,2,6
"653",0,0,1,3
"654",0,0,3,9
"655",0,0,3,9
"656",0,0,1,3
"657",0,0,1,3
"658",0,0,1,3
"659",0,0,1,3
"660",0,0,4,12
"661",0,0,1,3
"662",0,0,1,3
"663",0,0,3,9
"664",0,0,3,9
"665",0,0,2,6
"666",0,0,2,6
"667",0,0,1,3
"668",0,0,1,3
"669",0,0,1,3
"670",0,0,1,3
"671",0,0,1,3
"672",0,0,1,3
"673",0,0,1,3
"674",0,0,1,3
"675",0,0,1,3
"676",0,0,1,3
"677",0,0,1,3
"678",0,0,1,3
"679",0,0,1,3
"680",0,0,2,6
"681",0,0,1,3
"682",0,0,1,3
"683",0,0,1,3
"684",0,0,1,3
"685",0,0,1,3
"686",0,0,2,6
"687",0,0,1,3
"688",0,0,2,6
"689",0,0,2,6
"690",0,0,2,6
"691",0,0,1,3
"692",0,0,1,3
"693",0,0,1,3
"694",0,0,1,3
"695",0,0,1,3
"696",0,0,1,3
"697",0,0,2,6
"698",0,0,1,3
"699",0,0,1,3
"700",0,0,1,3
"701",0,0,1,3
"702",0,0,1,3
"703",0,0,1,3
"704",0,0,2,6
"705",0,0,1,3
"706",0,0,2,6
"707",0,0,1,3
"708",0,0,3,9
"709",0,0,1,3
"710",0,0,1,3
"711",0,0,3,9
"712",0,0,1,3
"713",0,0,1,3
"714",0,0,1,3
"715",0,0,1,3
"716",0,0,1,3
"717",0,0,1,3
"718",0,0,1,3
"719",0,0,1,3
"720",0,0,2,6
"721",0,0,1,3
"722",0,0,1,3
"723",0,0,1,3
"724",0,0,3,9
"725",0,0,1,3
"726",0,0,3,9
"727",0,0,1,3
"728",0,0,1,3
"729",0,0,2,6
"730",0,0,2,6
"731",0,0,1,3
"732",0,0,2,6
"733",0,0,1,3
"734",0,0,1,3
"735",0,0,1,3
"736",0,0,1,3
"737",0,0,1,3
"738",0,0,2,6
"739",0,0,1,3
"740",0,0,1,3
"741",0,0,1,3
"742",0,0,1,3
"743",0,0,1,3
"744",0,0,1,3
"745",0,0,1,3
"746",0,0,1,3
"747",0,0,1,3
"748",0,0,1,3
"749",0,0,1,3
"750",0,0,1,3
"751",0,0,1,3
"752",0,0,1,3
"753",0,0,1,3
"754",0,0,2,6
"755",0,0,1,3
"756",0,0,2,6
"757",0,0,1,3
"758",0,0,1,3
"759",0,0,1,3
"760",0,0,1,3
"761",0,0,1,3
"762",0,0,2,6
"763",0,0,2,6
"764",0,0,1,3
"765",0,0,1,3
"766",0,0,2,6
"767",0,0,1,3
"768",0,0,2,6
"769",0,0,1,3
"770",0,0,1,3
"771",0,0,1,3
"772",0,0,1,3
"773",0,0,3,9
"774",0,0,1,3
"775",0,0,2,6
"776",0,0,3,9
"777",0,0,1,3
"778",0,0,1,3
"779",0,0,1,3
"780",0,0,2,6
"781",0,0,2,6
"782",0,0,2,6
"783",0,0,2,6
"784",0,0,1,3
"785",0,0,1,3
"786",0,0,1,3
"787",0,0,2,6
"788",0,0,2,6
"789",0,0,1,3
"790",0,0,1,3
"791",0,0,2,6
"792",0,0,1,3
"793",0,0,1,3
"794",0,0,1,3
"795",0,0,1,3
"796",0,0,3,9
"797",0,0,1,3
"798",0,0,1,3
"799",0,0,1,3
"800",0,0,1,3
"801",0,0,1,3
"802",0,0,1,3
"803",0,0,1,3
"804",0,0,1,3
"805",0,0,1,3
"806",0,0,2,6
"807",0,0,2,6
"808",0,0,3,9
"809",0,0,2,6
"810",0,0,2,6
"811",0,0,1,3
"812",0,0,2,6
"813",0,0,1,3
"814",0,0,4,12
"815",0,0,1,3
"816",0,0,3,9
"817",0,0,1,3
"818",0,0,2,6
"819",0,0,1,3
"820",0,0,1,3
"821",0,0,1,3
"822",0,0,2,6
"823",0,0,1,3
"824",0,0,1,3
"825",0,0,2,6
"826",0,0,1,3
"827",0,0,3,9
"828",0,0,1,3
"829",0,0,3,9
"830",0,0,1,3
"831",0,0,1,3
"832",0,0,1,3
"833",0,0,1,3
"834",0,0,1,3
"835",0,0,1,3
"836",0,0,1,3
"837",0,0,1,3
"838",0,0,3,9
"839",0,0,1,3
"840",0,0,1,3
"841",0,0,2,6
"842",0,0,1,3
"843",0,0,2,6
"844",0,0,1,3
"845",0,0,1,3
"846",0,0,1,3
"847",0,0,1,3
"848",0,0,1,3
"849",0,0,1,3
"850",0,0,4,12
"851",0,0,1,3
"852",0,0,2,6
"853",0,0,2,6
"854",0,0,1,3
"855",0,0,2,6
"856",0,0,1,3
"857",0,0,1,3
"858",0,0,1,3
"859",0,0,2,6
"860",0,0,1,3
"861",0,0,1,3
"862",0,0,1,3
"863",0,0,1,3
"864",0,0,3,9
"865",0,0,1,3
"866",0,0,1,3
"867",0,0,1,3
"868",0,0,1,3
"869",0,0,1,3
"870",0,0,1,3
"871",0,0,2,6
"872",0,0,2,6
"873",0,0,1,3
"874",0,0,1,3
"875",0,0,1,3
"876",0,0,1,3
"877",0,0,2,6
"878",0,0,1,3
"879",0,0,1,3
"880",0,0,1,3
"881",0,0,1,3
"882",0,0,1,3
"883",0,0,1,3
"884",0,0,1,3
"885",0,0,1,3
"886",0,0,2,6
"887",0,0,2,6
"888",0,0,2,6
"889",0,0,1,3
"890",0,0,1,3
"891",0,0,1,3
"892",0,0,1,3
"893",0,0,1,3
"894",0,0,1,3
"895",0,0,1,3
"896",0,0,1,3
"897",0,0,1,3
"898",0,0,1,3
"899",0,0,1,3
"900",0,0,1,3
"901",0,0,1,3
"902",0,0,1,3
"903",0,0,2,6
"904",0,0,1,3
"905",0,0,1,3
"906",0,0,1,3
"907",0,0,2,6
"908",0,0,1,3
"909",0,0,4,12
"910",0,0,3,9
"911",0,0,1,3
"912",0,0,1,3
"913",0,0,1,3
"914",0,0,1,3
"915",0,0,2,6
"916",0,0,1,3
"917",0,0,1,3
"918",0,0,2,6
"919",0,0,2,6
"920",0,0,1,3
"921",0,0,3,9
"922",0,0,1,3
"923",0,0,1,3
"924",0,0,1,3
"925",0,0,2,6
"926",0,0,2,6
"927",0,0,1,3
"928",0,0,1,3
"929",0,0,1,3
"930",0,0,1,3
"931",0,0,1,3
"932",0,0,1,3
"933",0,0,1,3
"934",0,0,2,6
"935",0,0,1,3
"936",0,0,1,3
"937",0,0,1,3
"938",0,0,1,3
"939",0,0,1,3
"940",0,0,1,3
"941",0,0,1,3
"942",0,0,1,3
"943",0,0,2,6
"944",0,0,1,3
"945",0,0,1,3
"946",0,0,3,9
"947",0,0,1,3
"948",0,0,3,9
"949",0,0,1,3
"950",0,0,2,6
"951",0,0,2,6
"952",0,0,1,3
"953",0,0,1,3
"954",0,0,1,3
"955",0,0,1,3
"956",0,0,3,9
"957",0,0,1,3
"958",0,0,2,6
"959",0,0,1,3
"960",0,0,1,3
"961",0,0,3,9
"962",0,0,2,6
"963",0,0,1,3
"964",0,0,1,3
"965",0,0,1,3
"966",0,0,1,3
"967",0,0,5,15
"968",0,0,3,9
"969",0,0,2,6
"970",0,0,1,3
"971",0,0,2,6
"972",0,0,1,3
"973",0,0,2,6
"974",0,0,2,6
"975",0,0,1,3
"976",0,0,1,3
"977",0,0,1,3
"978",0,0,1,3
"979",0,0,1,3
"980",0,0,1,3
"981",0,0,2,6
"982",0,0,1,3
"983",0,0,2,6
"984",0,0,1,3
"985",0,0,1,3
"986",0,0,1,3
"987",0,0,1,3
"988",0,0,2,6
"989",0,0,2,6
"990",0,0,1,3
"991",0,0,1,3
"992",0,0,1,3
"993",0,0,1,3
"994",0,0,2,6
"995",0,0,3,9
"996",0,0,1,3
"997",0,0,1,3
"998",0,0,1,3
"999",0,0,1,3
"1000",0,0,1,3
"1001",0,0,1,3
"1002",0,0,2,6
"1003",0,0,1,3
"1004",0,0,1,3
"1005",0,0,2,6
"1006",0,0,1,3
"1007",0,0,1,3
"1008",0,0,1,3
"1009",0,0,1,3
"1010",0,0,1,3
"1011",0,0,1,3
"1012",0,0,1,3
"1013",0,0,2,6
"1014",0,0,1,3
"1015",0,0,1,3
"1016",0,0,1,3
"1017",0,0,3,9
"1018",0,0,1,3
"1019",0,0,1,3
"1020",0,0,1,3
"1021",0,0,1,3
"1022",0,0,1,3
"1023",0,0,1,3
"1024",0,0,2,6
"1025",0,0,2,6
"1026",0,0,1,3
"1027",0,0,1,3
"1028",0,0,1,3
"1029",0,0,2,6
"1030",0,0,3,9
"1031",0,0,1,3
"1032",0,0,1,3
"1033",0,0,1,3
"1034",0,0,1,3
"1035",0,0,5,15
"1036",0,0,1,3
"1037",0,0,1,3
"1038",0,0,1,3
"1039",0,0,1,3
"1040",0,0,3,9
"1041",0,0,2,6
"1042",0,0,1,3
"1043",0,0,1,3
"1044",0,0,1,3
"1045",0,0,2,6
"1046",0,0,1,3
"1047",0,0,1,3
"1048",0,0,2,6
"1049",0,0,3,9
"1050",0,0,1,3
"1051",0,0,1,3
"1052",0,0,1,3
"1053",0,0,1,3
"1054",0,0,1,3
"1055",0,0,2,6
"1056",0,0,1,3
"1057",0,0,1,3
"1058",0,0,1,3
"1059",0,0,2,6
"1060",0,0,1,3
"1061",0,0,1,3
"1062",0,0,1,3
"1063",0,0,1,3
"1064",0,0,2,6
"1065",0,0,2,6
"1066",0,0,1,3
"1067",0,0,1,3
"1068",0,0,3,9
"1069",0,0,1,3
"1070",0,0,1,3
"1071",0,0,1,3
"1072",0,0,1,3
"1073",0,0,1,3
"1074",0,0,1,3
"1075",0,0,1,3
"1076",0,0,1,3
"1077",0,0,1,3
"1078",0,0,1,3
"1079",0,0,2,6
"1080",0,0,1,3
"1081",0,0,1,3
"1082",0,0,1,3
"1083",0,0,1,3
"1084",0,0,3,9
"1085",0,0,1,3
"1086",0,0,1,3
"1087",0,0,4,12
"1088",0,0,3,9
"1089",0,0,3,9
"1090",0,0,2,6
"1091",0,0,1,3
"1092",0,0,2,6
"1093",0,0,3,9
"1094",0,0,1,3
"1095",0,0,1,3
"1096",0,0,1,3
"1097",0,0,1,3
"1098",0,0,1,3
"1099",0,0,1,3
"1100",0,0,1,3
"1101",0,0,1,3
"1102",0,0,1,3
"1103",0,0,3,9
"1104",0,0,2,6
"1105",0,0,3,9
"1106",0,0,2,6
"1107",0,0,1,3
"1108",0,0,1,3
"1109",0,0,1,3
"1110",0,0,1,3
"1111",0,0,1,3
"1112",0,0,1,3
"1113",0,0,3,9
"1114",0,0,1,3
"1115",0,0,2,6
"1116",0,0,1,3
"1117",0,0,1,3
"1118",0,0,1,3
"1119",0,0,1,3
"1120",0,0,1,3
"1121",0,0,1,3
"1122",0,0,1,3
"1123",0,0,2,6
"1124",0,0,1,3
"1125",0,0,1,3
"1126",0,0,1,3
"1127",0,0,1,3
"1128",0,0,1,3
"1129",0,0,1,3
"1130",0,0,2,6
"1131",0,0,2,6
"1132",0,0,3,9
"1133",0,0,3,9
"1134",0,0,1,3
"1135",0,0,1,3
"1136",0,0,1,3
"1137",0,0,2,6
"1138",0,0,2,6
"1139",0,0,1,3
"1140",0,0,2,6
"1141",0,0,3,9
"1142",0,0,1,3
"1143",0,0,3,9
"1144",0,0,1,3
"1145",0,0,2,6
"1146",0,0,1,3
"1147",0,0,1,3
"1148",0,0,1,3
"1149",0,0,1,3
"1150",0,0,1,3
"1151",0,0,1,3
"1152",0,0,3,9
"1153",0,0,1,3
"1154",0,0,1,3
"1155",0,0,1,3
"1156",0,0,2,6
"1157",0,0,2,6
"1158",0,0,2,6
"1159",0,0,2,6
"1160",0,0,1,3
"1161",0,0,1,3
"1162",0,0,1,3
"1163",0,0,1,3
"1164",0,0,2,6
"1165",0,0,3,9
"1166",0,0,3,9
"1167",0,0,1,3
"1168",0,0,1,3
"1169",0,0,1,3
"1170",0,0,1,3
"1171",0,0,2,6
"1172",0,0,2,6
"1173",0,0,1,3
"1174",0,0,1,3
"1175",0,0,1,3
"1176",0,0,1,3
"1177",0,0,1,3
"1178",0,0,3,9
"1179",0,0,2,6
"1180",0,0,1,3
"1181",0,0,1,3
"1182",0,0,1,3
"1183",0,0,1,3
"1184",0,0,1,3
"1185",0,0,1,3
"1186",0,0,3,9
"1187",0,0,3,9
"1188",0,0,1,3
"1189",0,0,1,3
"1190",0,0,1,3
"1191",0,0,2,6
"1192",0,0,5,15
"1193",0,0,1,3
"1194",0,0,1,3
"1195",0,0,1,3
"1196",0,0,1,3
"1197",0,0,2,6
"1198",0,0,2,6
"1199",0,0,1,3
"1200",0,0,1,3
"1201",0,0,1,3
"1202",0,0,1,3
"1203",0,0,1,3
"1204",0,0,1,3
"1205",0,0,1,3
"1206",0,0,1,3
"1207",0,0,1,3
"1208",0,0,1,3
"1209",0,0,1,3
"1210",0,0,1,3
"1211",0,0,2,6
"1212",0,0,1,3
"1213",0,0,1,3
"1214",0,0,1,3
"1215",0,0,1,3
"1216",0,0,1,3
"1217",0,0,1,3
"1218",0,0,1,3
"1219",0,0,1,3
"1220",0,0,1,3
"1221",0,0,2,6
"1222",0,0,1,3
"1223",0,0,2,6
"1224",0,0,1,3
"1225",0,0,2,6
"1226",0,0,1,3
"1227",0,0,1,3
"1228",0,0,1,3
"1229",0,0,1,3
"1230",0,0,1,3
"1231",0,0,1,3
"1232",0,0,1,3
"1233",0,0,1,3
"1234",0,0,2,6
"1235",0,0,1,3
"1236",0,0,1,3
"1237",0,0,2,6
"1238",0,0,1,3
"1239",0,0,1,3
"1240",0,0,1,3
"1241",0,0,1,3
"1242",0,0,1,3
"1243",0,0,2,6
"1244",0,0,1,3
"1245",0,0,1,3
